Time (s),X (m),Y (m),Velocity (m/s),Acceleration (g),Mass (kg),Thrust (N),Drag (custom),Comment
2.76,0,271.703386762,90.2048712145,-0.668058582899,1.4968536,0.0,-9.80986162821,
2.77,0,272.604780109,90.1393346687,-0.668058558831,1.4968536,0.0,-9.8098612748,
2.78,0,273.50551809,90.0737981234,-0.668058572554,1.4968536,0.0,-9.8098614763,
2.79,0,274.405600706,90.0082615768,-0.668058586266,1.4968536,0.0,-9.80986167766,
2.8,0,275.305027956,89.9427250288,-0.668058599969,1.4968536,0.0,-9.80986187887,
2.81,0,276.203799841,89.8771884795,-0.668058613661,1.4968536,0.0,-9.80986207993,
2.82,0,277.10191636,89.8116519288,-0.668058627344,1.4968536,0.0,-9.80986228085,
2.83,0,277.999377514,89.7461153768,-0.668058641016,1.4968536,0.0,-9.80986248162,
2.84,0,278.896183302,89.6805788234,-0.668058654679,1.4968536,0.0,-9.80986268225,
2.85,0,279.792333725,89.6150422687,-0.668058668332,1.4968536,0.0,-9.80986288272,
2.86,0,280.687828782,89.5495057127,-0.668058681974,1.4968536,0.0,-9.80986308305,
2.87,0,281.582668473,89.4839691553,-0.668058695607,1.4968536,0.0,-9.80986328324,
2.88,0,282.476852799,89.4184325966,-0.66805870923,1.4968536,0.0,-9.80986348328,
2.89,0,283.37038176,89.3528960366,-0.668058722843,1.4968536,0.0,-9.80986368317,
2.9,0,284.263255354,89.2873594752,-0.668058736446,1.4968536,0.0,-9.80986388291,
2.91,0,285.155473584,89.2218229125,-0.668058750038,1.4968536,0.0,-9.80986408251,
2.92,0,286.047036447,89.1562863484,-0.668058763621,1.4968536,0.0,-9.80986428197,
2.93,0,286.937943945,89.0907497831,-0.668058777194,1.4968536,0.0,-9.80986448127,
2.94,0,287.828196077,89.0252132164,-0.668058790757,1.4968536,0.0,-9.80986468043,
2.95,0,288.717792844,88.9596766483,-0.66805880431,1.4968536,0.0,-9.80986487945,
2.96,0,289.606734244,88.894140079,-0.668058817853,1.4968536,0.0,-9.80986507831,
